Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Argentina,ARG,1973,15483.363,0,361.89407
Argentina,ARG,1974,15496.195,115.508606,587.97815
Argentina,ARG,1975,14680.415,276.01428,601.5391
Argentina,ARG,1976,15229.681,277.59668,571.45184
Argentina,ARG,1977,15705.63,173.88072,645.98193
Argentina,ARG,1978,15132.868,302.7115,851.351
Argentina,ARG,1979,15777.248,276.91968,1153.4015
Argentina,ARG,1980,14997.139,236.92526,1608.8427
Argentina,ARG,1981,14269.553,280.64917,1534.8994
Argentina,ARG,1982,14134.874,183.45937,1811.2704
Argentina,ARG,1983,14335.764,328.8862,1870.7758
Argentina,ARG,1984,13912.129,441.43262,1982.6127
Argentina,ARG,1985,13332.522,540.20026,2029.0524
Argentina,ARG,1986,13987.672,527.02203,2035.2977
Argentina,ARG,1987,14362.914,587.656,2086.509
Argentina,ARG,1988,15107.617,519.1386,1436.1788
Argentina,ARG,1989,14543.697,444.51715,1222.8326
Argentina,ARG,1990,13467.861,633.00946,1617.8336
Argentina,ARG,1991,13653.088,664.77136,1430.0657
Argentina,ARG,1992,14362.695,598.5544,1700.5907
Argentina,ARG,1993,14261.009,646.2687,2074.4868
Argentina,ARG,1994,14624.844,677.5244,2348.6665
Argentina,ARG,1995,15150.054,573.73706,2253.4985
Argentina,ARG,1996,16071.908,598.06177,1898.5623
Argentina,ARG,1997,15606.976,630.7091,2322.6155
Argentina,ARG,1998,16234.63,583.66364,2181.549
Argentina,ARG,1999,16688.752,550.115,1751.8158
Argentina,ARG,2000,16061.652,472.80722,2315.3508
Argentina,ARG,2001,14777.17,530.9416,2902.0085
Argentina,ARG,2002,14038.02,430.35602,2806.8796
Argentina,ARG,2003,15136.219,550.0728,2640.2305
Argentina,ARG,2004,16351.621,562.7154,2347.1194
Argentina,ARG,2005,17161.695,483.35898,2587.7883
Argentina,ARG,2006,17675.01,534.0272,2829.6863
Argentina,ARG,2007,18910.846,493.59906,2303.9253
Argentina,ARG,2008,19009.867,495.06348,2275.4507
Argentina,ARG,2009,17943.129,539.0137,2472.1309
Argentina,ARG,2010,18534.785,467.2336,2505.6836
Argentina,ARG,2011,19097.164,408.03802,2389.6646
Argentina,ARG,2012,19803.955,401.51785,2289.2427
Argentina,ARG,2013,20236.637,382.96365,2532.9878
Argentina,ARG,2014,20020.451,334.72797,2525.8271
Argentina,ARG,2015,20115.785,420.50797,2510.5789
Argentina,ARG,2016,19927.385,487.3823,2311.6875
Argentina,ARG,2017,19680.186,352.90994,2470.724
Argentina,ARG,2018,19258.883,392.82648,2511.452
Argentina,ARG,2019,17779.336,477.22705,2468.6052
Argentina,ARG,2020,16376.283,560.2,2377.5747
Argentina,ARG,2021,18205.441,563.98914,2399.5322
Argentina,ARG,2022,19451.1,410.59473,2756.9307
Argentina,ARG,2023,18648.033,488.09872,3141.6628
Asia,,1965,2602.062,0.037304364,222.3872
Asia,,1966,2794.417,0.8506556,226.44109
Asia,,1967,2862.3647,0.8949819,206.75435
Asia,,1968,2995.9854,1.4501771,224.33261
Asia,,1969,3376.1616,2.448705,227.21378
Asia,,1970,3779.8667,7.7907963,227.32373
Asia,,1971,4019.5,11.672125,242.87311
Asia,,1972,4221.0205,13.402955,245.58287
Asia,,1973,4487.6006,14.87635,223.31256
Asia,,1974,4429.6562,26.632406,248.8767
Asia,,1975,4540.2397,33.024063,262.73886
Asia,,1976,4715.694,43.273533,264.90094
Asia,,1977,4936.8193,38.756546,255.56485
Asia,,1978,5120.5146,74.64973,264.37238
Asia,,1979,5251.255,90.313416,281.43222
Asia,,1980,5113.958,104.221085,297.12375
Asia,,1981,5063.1514,109.81348,312.4645
Asia,,1982,5070.3564,125.86182,313.3928
Asia,,1983,5243.862,147.57088,322.9857
Asia,,1984,5483.145,174.05548,319.09097
Asia,,1985,6306.4126,209.86427,368.46494
Asia,,1986,6443.869,218.83534,364.79602
Asia,,1987,6690.783,253.90372,370.05774
Asia,,1988,7008.3457,234.89563,415.4834
Asia,,1989,7200.975,240.51364,418.10483
Asia,,1990,7315.4165,253.77467,426.9358
Asia,,1991,7483.71,266.1848,424.1603
Asia,,1992,7708.478,268.72247,420.34445
Asia,,1993,7864.1055,293.035,457.68048
Asia,,1994,8159.6475,307.99985,450.51108
Asia,,1995,8328.648,334.46332,482.0944
Asia,,1996,8590.302,348.16574,472.2879
Asia,,1997,8717.275,365.14474,467.3664
Asia,,1998,8572.052,374.7019,488.64188
Asia,,1999,8754.807,375.85275,473.44626
Asia,,2000,9004.076,381.39862,483.74408
Asia,,2001,9179.439,378.77988,510.87067
Asia,,2002,9525.052,380.96222,519.7704
Asia,,2003,10235.616,332.54196,532.05096
Asia,,2004,11044.063,374.48102,613.4569
Asia,,2005,11786.705,383.8191,629.77203
Asia,,2006,12303.23,386.82913,684.43
Asia,,2007,12942.075,364.43658,712.9315
Asia,,2008,13163.534,347.53857,802.2983
Asia,,2009,13307.631,357.13547,788.9542
Asia,,2010,13942.508,369.49133,904.92334
Asia,,2011,14578.622,301.2717,929.24194
Asia,,2012,14917.293,211.28625,1047.8828
Asia,,2013,15055.917,210.11676,1146.835
Asia,,2014,15204.0205,222.64307,1260.167
Asia,,2015,15244.307,246.94363,1330.2773
Asia,,2016,15201.958,271.86856,1426.1375
Asia,,2017,15568.612,282.58417,1538.1526
Asia,,2018,15880.071,311.2401,1669.9618
Asia,,2019,16052.258,358.30142,1823.9341
Asia,,2020,15724.594,359.77908,1935.5474
Asia,,2021,16318.793,390.67166,2112.8857
Asia,,2022,16512.453,406.59473,2300.588
Asia,,2023,17057.654,431.55676,2428.2097
Australia,AUS,1965,35395.805,0,2084.9104
Australia,AUS,1966,36529.594,0,1951.7322
Australia,AUS,1967,38078.816,0,1982.8727
Australia,AUS,1968,39683.492,0,2029.5337
Australia,AUS,1969,40417.2,0,2166.213
Australia,AUS,1970,42810.016,0,2453.9646
Australia,AUS,1971,43400.63,0,2683.344
Australia,AUS,1972,44437.89,0,2635.7896
Australia,AUS,1973,46764.816,0,2768.2363
Australia,AUS,1974,48821.367,0,3091.4663
Australia,AUS,1975,48845.88,0,3282.5305
Australia,AUS,1976,50269.727,0,3091.437
Australia,AUS,1977,52457.586,0,2918.1785
Australia,AUS,1978,53395.305,0,3112.8638
Australia,AUS,1979,54945.08,0,2992.9883
Australia,AUS,1980,54615.76,0,2791.2869
Australia,AUS,1981,54621.473,0,2832.694
Australia,AUS,1982,53433.984,0,2598.0852
Australia,AUS,1983,52287.727,0,2419.8884
Australia,AUS,1984,53348.02,0,2581.6687
Australia,AUS,1985,54075.297,0,2703.5625
Australia,AUS,1986,54300.055,0,2681.848
Australia,AUS,1987,55093.676,0,2568.1492
Australia,AUS,1988,56674.305,0,2706.073
Australia,AUS,1989,58641.63,0,2663.2573
Australia,AUS,1990,58951.844,0,2702.2617
Australia,AUS,1991,57630.38,0,2813.9587
Australia,AUS,1992,57901.61,0,2823.9597
Australia,AUS,1993,58633.574,0,2872.3596
Australia,AUS,1994,60402.938,0,2810.7297
Australia,AUS,1995,61398.64,0,2718.3857
Australia,AUS,1996,62475.82,0,2763.9421
Australia,AUS,1997,63378.875,0,2741.234
Australia,AUS,1998,64295.676,0,2705.3374
Australia,AUS,1999,66238.22,0,2766.3467
Australia,AUS,2000,65895.28,0,2737.685
Australia,AUS,2001,65693.06,0,2645.2122
Australia,AUS,2002,66184.305,0,2708.4856
Australia,AUS,2003,66309.15,0,2773.6526
Australia,AUS,2004,67641.09,0,2845.223
Australia,AUS,2005,66901.25,0,3015.9136
Australia,AUS,2006,68821.48,0,3042.29
Australia,AUS,2007,69429.336,0,2875.358
Australia,AUS,2008,69435.5,0,2653.844
Australia,AUS,2009,66957.82,0,2732.027
Australia,AUS,2010,65568.57,0,2955.301
Australia,AUS,2011,65748.54,0,3965.6514
Australia,AUS,2012,63738.773,0,3844.2527
Australia,AUS,2013,62923.895,0,4383.1484
Australia,AUS,2014,62761.85,0,3982.3477
Australia,AUS,2015,62999.273,0,4223.8315
Australia,AUS,2016,61624.492,0,4771.693
Australia,AUS,2017,60740.344,0,4392.7925
Australia,AUS,2018,59666.56,0,5386.9814
Australia,AUS,2019,60367.38,0,5879.921
Australia,AUS,2020,55051.242,0,6698.7847
Australia,AUS,2021,53381.383,0,7922.935
Australia,AUS,2022,54620.742,0,8831.524
Australia,AUS,2023,53779.406,0,9477.472
Austria,AUT,1965,19524.502,0,6541.6733
Austria,AUT,1966,20090.027,0,7000.156
Austria,AUT,1967,20070.238,0,7095.3643
Austria,AUT,1968,21644.56,0,7253.062
Austria,AUT,1969,23186.455,0,6645.0854
Austria,AUT,1970,25611.236,0,8432.793
Austria,AUT,1971,27118.223,0,6632.8647
Austria,AUT,1972,27937.443,0,6777.8687
Austria,AUT,1973,29629.223,0,7489.612
Austria,AUT,1974,28406.164,0,8840.264
Austria,AUT,1975,27808.29,0,9286.367
Austria,AUT,1976,30419.934,0,8040.218
Austria,AUT,1977,28799.48,0,9739.236
Austria,AUT,1978,30480.5,0,9754.929
Austria,AUT,1979,31684.107,0,11007.9
Austria,AUT,1980,31108.863,0,11404.694
Austria,AUT,1981,29116.54,0,12055.418
Austria,AUT,1982,27731.283,0,12066.638
Austria,AUT,1983,27780.08,0,11972.639
Austria,AUT,1984,28851.346,0,10503.83
Austria,AUT,1985,29329.434,0,12432.113
Austria,AUT,1986,29197.152,0,12619.191
Austria,AUT,1987,29909.434,0,14200.749
Austria,AUT,1988,29193.416,0,14206.123
Austria,AUT,1989,29360.508,0,14077.761
Austria,AUT,1990,30865.15,0,12608.698
Austria,AUT,1991,32558.14,0,12492.961
Austria,AUT,1992,30290.568,0,13683.4375
Austria,AUT,1993,30303.47,0,14279.802
Austria,AUT,1994,30238.568,0,13793.1875
Austria,AUT,1995,31723.951,0,14538.525
Austria,AUT,1996,33856.094,0,13353.565
Austria,AUT,1997,33673.223,0,14094.372
Austria,AUT,1998,34270.203,0,14532.994
Austria,AUT,1999,33436.324,0,15717.087
Austria,AUT,2000,33253.867,0,16078.19
Austria,AUT,2001,35063.773,0,15509.863
Austria,AUT,2002,35145.586,0,15210.699
Austria,AUT,2003,37537.383,0,12671.771
Austria,AUT,2004,37599.38,0,14101.312
Austria,AUT,2005,38014.77,0,14416.047
Austria,AUT,2006,37020.414,0,14488.603
Austria,AUT,2007,35323.31,0,15319.22
Austria,AUT,2008,35321.387,0,15700.529
Austria,AUT,2009,32523.871,0,16592.205
Austria,AUT,2010,34623.395,0,15785.184
Austria,AUT,2011,32879.44,0,14297.22
Austria,AUT,2012,31579.602,0,17580.533
Austria,AUT,2013,31344.254,0,17107.934
Austria,AUT,2014,29432.53,0,16774.605
Austria,AUT,2015,30144.947,0,15719.883
Austria,AUT,2016,30335.36,0,16554.303
Austria,AUT,2017,31110.197,0,16354.286
Austria,AUT,2018,30322.547,0,15874.077
Austria,AUT,2019,31098.203,0,17095.865
Austria,AUT,2020,27766.033,0,17154.707
Austria,AUT,2021,29200.68,0,16308.09
Austria,AUT,2022,27159.941,0,15321.636
Austria,AUT,2023,25737.123,0,17215.49
Azerbaijan,AZE,1985,33531.336,0,563.22015
Azerbaijan,AZE,1986,35732.816,0,339.3284
Azerbaijan,AZE,1987,34018.645,0,333.45038
Azerbaijan,AZE,1988,33484.992,0,284.3575
Azerbaijan,AZE,1989,33744.9,0,280.96304
Azerbaijan,AZE,1990,34417.613,0,660.04224
Azerbaijan,AZE,1991,32520.611,0,690.1098
Azerbaijan,AZE,1992,27373.764,0,675.98004
Azerbaijan,AZE,1993,23101.287,0,926.81555
Azerbaijan,AZE,1994,21152.613,0,691.8137
Azerbaijan,AZE,1995,19779.477,0,583.2019
Azerbaijan,AZE,1996,16001.271,0,571.7488
Azerbaijan,AZE,1997,15136.405,0,632.7903
Azerbaijan,AZE,1998,15032.282,0,717.4498
Azerbaijan,AZE,1999,15046.717,0,549.6828
Azerbaijan,AZE,2000,15569.463,0,553.82574
Azerbaijan,AZE,2001,14900.381,0,461.48856
Azerbaijan,AZE,2002,14298.943,0,704.24695
Azerbaijan,AZE,2003,15228.88,0,846.49286
Azerbaijan,AZE,2004,17058.92,0,927.8629
Azerbaijan,AZE,2005,18278.164,0,995.4846
Azerbaijan,AZE,2006,17907.168,0,817.5785
Azerbaijan,AZE,2007,16262.671,0,752.89355
Azerbaijan,AZE,2008,16099.592,0,696.9179
Azerbaijan,AZE,2009,13565.871,0,707.5463
Azerbaijan,AZE,2010,12868.885,0,1035.6885
Azerbaijan,AZE,2011,14783.35,0,788.716
Azerbaijan,AZE,2012,15296.674,0,526.3849
Azerbaijan,AZE,2013,15594.72,0,444.81433
Azerbaijan,AZE,2014,15749.371,0,391.3848
Azerbaijan,AZE,2015,16941.422,0,479.00803
Azerbaijan,AZE,2016,16490.473,0,569.26935
Azerbaijan,AZE,2017,16072.636,0,504.12286
Azerbaijan,AZE,2018,16833.99,0,518.0196
Azerbaijan,AZE,2019,17694.033,0,472.18802
Azerbaijan,AZE,2020,17639.72,0,340.77127
Azerbaijan,AZE,2021,18764.215,0,391.18164
Azerbaijan,AZE,2022,19832.1,0,469.5691
Azerbaijan,AZE,2023,21373.877,0,508.02905
Azerbaijan,AZE,1980,,0,
Azerbaijan,AZE,1981,,0,
Azerbaijan,AZE,1982,,0,
Azerbaijan,AZE,1983,,0,
Azerbaijan,AZE,1984,,0,
Bahrain,BHR,1965,,0,
Bahrain,BHR,1966,,0,
Bahrain,BHR,1967,,0,
Bahrain,BHR,1968,,0,
Bahrain,BHR,1969,,0,
Bahrain,BHR,1970,,0,
Bahrain,BHR,1971,,0,
Bahrain,BHR,1972,,0,
Bahrain,BHR,1973,,0,
Bahrain,BHR,1974,,0,
Bahrain,BHR,1975,,0,
Bahrain,BHR,1976,,0,
Bahrain,BHR,1977,,0,
Bahrain,BHR,1978,,0,
Bahrain,BHR,1979,,0,
Bahrain,BHR,1980,,0,
Bahrain,BHR,1981,,0,
Bahrain,BHR,1982,,0,
Bahrain,BHR,1983,,0,
Bahrain,BHR,1984,,0,
Bahrain,BHR,1985,,0,
Bahrain,BHR,1986,,0,
Bahrain,BHR,1987,,0,
Bahrain,BHR,1988,,0,
Bahrain,BHR,1989,,0,
Bahrain,BHR,1990,,0,
Bahrain,BHR,1991,,0,
Bahrain,BHR,1992,,0,
Bahrain,BHR,1993,,0,
Bahrain,BHR,1994,,0,
Bahrain,BHR,1995,,0,
Bahrain,BHR,1996,,0,
Bahrain,BHR,1997,,0,
Bahrain,BHR,1998,,0,
Bahrain,BHR,1999,,0,
Bahrain,BHR,2000,,0,
Bahrain,BHR,2001,,0,
Bahrain,BHR,2002,,0,
Bahrain,BHR,2003,,0,
Bahrain,BHR,2004,,0,
Bahrain,BHR,2005,,0,
Bahrain,BHR,2006,,0,
Bahrain,BHR,2007,,0,
Bahrain,BHR,2008,,0,
Bahrain,BHR,2009,,0,
Bahrain,BHR,2010,,0,
Bahrain,BHR,2011,,0,
Bahrain,BHR,2012,,0,
Bahrain,BHR,2013,,0,
Bahrain,BHR,2014,,0,
Bahrain,BHR,2015,,0,
Bahrain,BHR,2016,,0,
Bahrain,BHR,2017,,0,
Bahrain,BHR,2018,,0,
Bahrain,BHR,2019,,0,
Bahrain,BHR,2020,,0,
Bahrain,BHR,2021,,0,
Bahrain,BHR,2022,,0,
Bahrain,BHR,2023,,0,
Bangladesh,BGD,1971,188.50717,0,7.568028
Bangladesh,BGD,1972,211.59084,0,7.4621134
Bangladesh,BGD,1973,260.05392,0,13.757338
Bangladesh,BGD,1974,274.5525,0,9.850171
Bangladesh,BGD,1975,268.29678,0,17.258919
Bangladesh,BGD,1976,306.78494,0,19.124786
Bangladesh,BGD,1977,309.0183,0,16.537506
Bangladesh,BGD,1978,319.06598,0,18.701193
Bangladesh,BGD,1979,342.56836,0,21.191452
Bangladesh,BGD,1980,393.50113,0,20.540087
Bangladesh,BGD,1981,406.14758,0,21.451128
Bangladesh,BGD,1982,441.47354,0,17.463715
Bangladesh,BGD,1983,419.92932,0,21.50054
Bangladesh,BGD,1984,436.09802,0,28.357735
Bangladesh,BGD,1985,480.29718,0,22.772358
Bangladesh,BGD,1986,521.0646,0,13.5404625
Bangladesh,BGD,1987,561.8036,0,15.21305
Bangladesh,BGD,1988,609.41785,0,19.437046
Bangladesh,BGD,1989,637.72974,0,25.935122
Bangladesh,BGD,1990,664.89954,0,24.396038
Bangladesh,BGD,1991,629.5759,0,22.683018
Bangladesh,BGD,1992,677.22986,0,21.153221
Bangladesh,BGD,1993,737.42566,0,15.851429
Bangladesh,BGD,1994,762.752,0,21.663036
Bangladesh,BGD,1995,899.95435,0,9.338388
Bangladesh,BGD,1996,917.752,0,18.228828
Bangladesh,BGD,1997,948.5861,0,17.421244
Bangladesh,BGD,1998,989.15094,0,20.56925
Bangladesh,BGD,1999,982.3862,0,19.43257
Bangladesh,BGD,2000,1036.4779,0,17.143412
Bangladesh,BGD,2001,1159.4683,0,22.155798
Bangladesh,BGD,2002,1146.8385,0,16.299408
Bangladesh,BGD,2003,1192.2144,0,15.931184
Bangladesh,BGD,2004,1247.9562,0,15.591015
Bangladesh,BGD,2005,1334.0037,0,15.289182
Bangladesh,BGD,2006,1427.4062,0,15.082642
Bangladesh,BGD,2007,1452.9916,0,14.902555
Bangladesh,BGD,2008,1513.2169,0,18.70741
Bangladesh,BGD,2009,1663.2365,0,8.51918
Bangladesh,BGD,2010,1676.961,0,14.572353
Bangladesh,BGD,2011,1789.1952,0,18.397383
Bangladesh,BGD,2012,1922.3849,0,16.936466
Bangladesh,BGD,2013,1973.1709,0,16.445894
Bangladesh,BGD,2014,2027.6733,0,13.984857
Bangladesh,BGD,2015,2419.4265,0,20.020527
Bangladesh,BGD,2016,2401.0813,0,18.66556
Bangladesh,BGD,2017,2467.9375,0,21.8867
Bangladesh,BGD,2018,2609.0083,0,19.234287
Bangladesh,BGD,2019,2895.676,0,19.217888
Bangladesh,BGD,2020,2713.0447,0,18.343538
Bangladesh,BGD,2021,2887.213,0,20.152838
Bangladesh,BGD,2022,3000.6523,0,25.141754
Bangladesh,BGD,2023,2910.3843,0,29.636326
Belarus,BLR,1985,40262.094,0,5.8362236
Belarus,BLR,1986,45657.13,0,5.79706
Belarus,BLR,1987,46010.918,0,5.7581506
Belarus,BLR,1988,46387.63,0,5.7231154
Belarus,BLR,1989,44630.234,0,5.6932936
Belarus,BLR,1990,44676.812,0,5.670956
Belarus,BLR,1991,44451.13,0,5.08967
Belarus,BLR,1992,38479.266,0,4.798521
Belarus,BLR,1993,32160.344,0,5.360704
Belarus,BLR,1994,26897.057,0,5.3633075
Belarus,BLR,1995,23958.543,0,5.6529775
Belarus,BLR,1996,24633.928,0,4.5333347
Belarus,BLR,1997,25001.521,0,5.9703016
Belarus,BLR,1998,24549.229,0,7.993826
Belarus,BLR,1999,23996.287,0,5.4502563
Belarus,BLR,2000,24854.432,0,7.784205
Belarus,BLR,2001,24293.52,0,8.6395235
Belarus,BLR,2002,25296.654,0,8.351539
Belarus,BLR,2003,25280.51,0,8.067186
Belarus,BLR,2004,28494.363,0,9.8008
Belarus,BLR,2005,28585.334,0,10.663756
Belarus,BLR,2006,30583.52,0,11.01998
Belarus,BLR,2007,29979.7,0,14.907924
Belarus,BLR,2008,30478.078,0,30.646965
Belarus,BLR,2009,28896.02,0,57.020115
Belarus,BLR,2010,31384.383,0,80.80804
Belarus,BLR,2011,30898.94,0,77.13713
Belarus,BLR,2012,33462.785,0,88.33494
Belarus,BLR,2013,30262.42,0,95.75592
Belarus,BLR,2014,30325.256,0,92.592
Belarus,BLR,2015,27421.707,0,98.381546
Belarus,BLR,2016,27981.426,0,118.53891
Belarus,BLR,2017,28401.738,0,218.31895
Belarus,BLR,2018,31487.777,0,198.35622
Belarus,BLR,2019,31676.77,0,242.94302
Belarus,BLR,2020,29360.775,88.42041,294.6268
Belarus,BLR,2021,30062.072,1515.3528,376.0015
